MatchID,EventID,Tournament,TournamentDate,Season,Surface,Level,PlayerID,Player,Opponent,OpponentID,Wins,Appearances,Top10Matches,Top10Wins,PlayerRank,OpponentRank,Aces,DoubleFaults,ServePoints,FirstServesIn,FirstServePointsWon,SecondServePointsWon,SecondServePoints,ServePointsWon,ReturnPointsWon,ReturnPoints,BreakPointsSaved,BreakPointsFaced,StatsCovered,Score,Round,Minutes
2020-0451:300,2020-0451,Doha,2020-01-06,2020,Hard,A,126094,Andrey Rublev,Corentin Moutet,144895,1,1,0,0,23.0,81.0,3.0,0.0,58.0,44.0,34.0,6.0,14.0,40.0,29.0,62.0,1.0,2.0,1,6-2 7-6(3),F,86.0
2020-0451:299,2020-0451,Doha,2020-01-06,2020,Hard,A,144895,Corentin Moutet,Stan Wawrinka,104527,1,1,0,0,81.0,15.0,0.0,0.0,74.0,56.0,45.0,12.0,18.0,57.0,31.0,93.0,0.0,1.0,1,3-6 7-5 6-3,SF,120.0
2020-0451:298,2020-0451,Doha,2020-01-06,2020,Hard,A,126094,Andrey Rublev,Miomir Kecmanovic,200175,1,1,0,0,23.0,62.0,10.0,1.0,43.0,26.0,24.0,10.0,17.0,34.0,26.0,50.0,0.0,0.0,1,6-3 6-1,SF,53.0
2020-0451:297,2020-0451,Doha,2020-01-06,2020,Hard,A,104527,Stan Wawrinka,Aljaz Bedene,105379,1,1,0,0,15.0,58.0,5.0,0.0,58.0,29.0,27.0,16.0,29.0,43.0,17.0,49.0,2.0,2.0,1,6-3 6-4,QF,83.0
2020-0451:296,2020-0451,Doha,2020-01-06,2020,Hard,A,144895,Corentin Moutet,Fernando Verdasco,104269,1,1,0,0,81.0,49.0,2.0,3.0,91.0,67.0,49.0,12.0,24.0,61.0,32.0,90.0,4.0,6.0,1,6-4 4-6 6-4,QF,132.0
2020-0451:295,2020-0451,Doha,2020-01-06,2020,Hard,A,200175,Miomir Kecmanovic,Marton Fucsovics,105916,1,1,0,0,62.0,70.0,2.0,0.0,39.0,30.0,22.0,6.0,9.0,28.0,31.0,48.0,3.0,4.0,1,6-2 6-0,QF,55.0
2020-0451:294,2020-0451,Doha,2020-01-06,2020,Hard,A,126094,Andrey Rublev,Pierre Hugues Herbert,105732,1,1,0,0,23.0,65.0,4.0,1.0,72.0,40.0,29.0,15.0,32.0,44.0,36.0,74.0,5.0,6.0,1,6-4 6-3,QF,101.0
2020-0451:293,2020-0451,Doha,2020-01-06,2020,Hard,A,104527,Stan Wawrinka,Jeremy Chardy,104871,1,1,0,0,15.0,54.0,12.0,1.0,61.0,35.0,27.0,15.0,26.0,42.0,26.0,64.0,6.0,7.0,1,6-3 6-4,R16,87.0
2020-0451:292,2020-0451,Doha,2020-01-06,2020,Hard,A,105379,Aljaz Bedene,Alexander Bublik,122330,1,1,0,0,58.0,55.0,5.0,3.0,67.0,35.0,27.0,21.0,32.0,48.0,23.0,66.0,1.0,1.0,1,6-3 7-5,R16,89.0
2020-0451:291,2020-0451,Doha,2020-01-06,2020,Hard,A,144895,Corentin Moutet,Milos Raonic,105683,1,1,0,0,81.0,32.0,2.0,3.0,92.0,68.0,48.0,15.0,24.0,63.0,23.0,75.0,2.0,3.0,1,7-6(4) 7-6(4),R16,119.0
2020-0451:290,2020-0451,Doha,2020-01-06,2020,Hard,A,104269,Fernando Verdasco,Filip Krajinovic,105936,1,1,0,0,49.0,40.0,17.0,3.0,89.0,60.0,46.0,14.0,29.0,60.0,42.0,99.0,3.0,4.0,1,7-5 4-6 6-0,R16,125.0
2020-0451:289,2020-0451,Doha,2020-01-06,2020,Hard,A,105916,Marton Fucsovics,Cem Ilkel,117356,1,1,0,0,70.0,279.0,3.0,0.0,52.0,39.0,28.0,7.0,13.0,35.0,22.0,46.0,3.0,4.0,1,6-1 6-4,R16,73.0
2020-0451:288,2020-0451,Doha,2020-01-06,2020,Hard,A,200175,Miomir Kecmanovic,Jo-Wilfried Tsonga,104542,1,1,0,0,62.0,30.0,9.0,4.0,62.0,38.0,34.0,13.0,24.0,47.0,21.0,57.0,0.0,0.0,1,7-6(9) 6-1,R16,74.0
2020-0451:287,2020-0451,Doha,2020-01-06,2020,Hard,A,105732,Pierre Hugues Herbert,Laslo Djere,111513,1,1,0,0,65.0,39.0,4.0,1.0,47.0,33.0,25.0,6.0,14.0,31.0,24.0,47.0,0.0,1.0,1,6-1 6-3,R16,62.0
2020-0451:286,2020-0451,Doha,2020-01-06,2020,Hard,A,126094,Andrey Rublev,Mikhail Kukushkin,105062,1,1,0,0,23.0,66.0,4.0,1.0,56.0,34.0,28.0,9.0,22.0,37.0,20.0,48.0,1.0,2.0,1,6-4 6-2,R16,69.0
2020-0451:284,2020-0451,Doha,2020-01-06,2020,Hard,A,104871,Jeremy Chardy,Gregoire Barrere,106296,1,1,0,0,54.0,83.0,9.0,3.0,85.0,54.0,40.0,21.0,31.0,61.0,31.0,87.0,6.0,7.0,1,6-3 3-6 6-3,R32,106.0
2020-0451:283,2020-0451,Doha,2020-01-06,2020,Hard,A,105379,Aljaz Bedene,Mikael Ymer,144707,1,1,0,0,58.0,76.0,8.0,0.0,78.0,45.0,30.0,21.0,33.0,51.0,30.0,83.0,1.0,3.0,1,3-6 6-4 6-3,R32,130.0
2020-0451:282,2020-0451,Doha,2020-01-06,2020,Hard,A,122330,Alexander Bublik,Adrian Mannarino,105173,1,1,0,0,55.0,43.0,10.0,6.0,62.0,41.0,31.0,10.0,21.0,41.0,19.0,48.0,3.0,4.0,1,6-3 6-4,R32,69.0
2020-0451:280,2020-0451,Doha,2020-01-06,2020,Hard,A,144895,Corentin Moutet,Tennys Sandgren,105815,1,1,0,0,81.0,68.0,2.0,2.0,69.0,57.0,48.0,6.0,12.0,54.0,24.0,70.0,7.0,7.0,1,7-6(3) 6-4,R32,105.0
2020-0451:279,2020-0451,Doha,2020-01-06,2020,Hard,A,104269,Fernando Verdasco,Pablo Andujar,104665,1,1,0,0,49.0,64.0,6.0,0.0,55.0,35.0,30.0,11.0,20.0,41.0,27.0,67.0,0.0,0.0,1,6-4 6-3,R32,89.0
2020-0451:278,2020-0451,Doha,2020-01-06,2020,Hard,A,105936,Filip Krajinovic,Kyle Edmund,106378,1,1,0,0,40.0,69.0,6.0,2.0,105.0,74.0,43.0,15.0,31.0,58.0,46.0,93.0,8.0,13.0,1,4-6 6-3 6-3,R32,135.0
2020-0451:277,2020-0451,Doha,2020-01-06,2020,Hard,A,105916,Marton Fucsovics,Frances Tiafoe,126207,1,1,0,0,70.0,47.0,8.0,3.0,110.0,68.0,45.0,19.0,42.0,64.0,41.0,101.0,7.0,10.0,1,6-4 4-6 6-4,R32,141.0
2020-0451:276,2020-0451,Doha,2020-01-06,2020,Hard,A,117356,Cem Ilkel,Ricardas Berankis,105575,1,1,0,0,279.0,67.0,11.0,1.0,92.0,59.0,42.0,17.0,33.0,59.0,33.0,84.0,4.0,5.0,1,6-2 4-6 6-2,R32,112.0
2020-0451:275,2020-0451,Doha,2020-01-06,2020,Hard,A,200175,Miomir Kecmanovic,Jordan Thompson,111442,1,1,0,0,62.0,63.0,0.0,1.0,57.0,31.0,23.0,17.0,26.0,40.0,31.0,66.0,0.0,0.0,1,6-4 6-2,R32,84.0
2020-0451:273,2020-0451,Doha,2020-01-06,2020,Hard,A,111513,Laslo Djere,Lorenzo Sonego,132283,1,1,0,0,39.0,51.0,5.0,2.0,73.0,48.0,33.0,14.0,25.0,47.0,37.0,75.0,4.0,7.0,1,6-1 3-6 6-2,R32,114.0
2020-0451:272,2020-0451,Doha,2020-01-06,2020,Hard,A,105732,Pierre Hugues Herbert,Marco Cecchinato,106065,1,1,0,0,65.0,75.0,6.0,2.0,51.0,30.0,26.0,12.0,21.0,38.0,26.0,59.0,0.0,1.0,1,6-3 6-4,R32,71.0
2020-0451:271,2020-0451,Doha,2020-01-06,2020,Hard,A,105062,Mikhail Kukushkin,Malek Jaziri,104291,1,1,0,0,66.0,229.0,7.0,0.0,51.0,33.0,22.0,12.0,18.0,34.0,25.0,44.0,3.0,3.0,1,6-0 6-3,R32,68.0
2020-M056:300,2020-M056,Adelaide,2020-01-13,2020,Hard,A,126094,Andrey Rublev,Lloyd Harris,144750,1,1,0,0,18.0,91.0,4.0,1.0,49.0,27.0,22.0,13.0,22.0,35.0,23.0,43.0,4.0,4.0,1,6-3 6-0,F,56.0
