Invoice,Date,Month,Country,TransactionType,PrimaryIssue,IssueMask,ReviewStatus,SourceRows,FlaggedRows,RuleHits,MissingCustomerRows,MissingDescriptionRows,DuplicateRows,ZeroPriceRows,NegativePriceRows,AdjustmentRows,PositiveValue,FlaggedPositiveValue,DuplicatePositiveValue,UnidentifiedPositiveValue,SignedValue,FirstSourceRow
536365,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,7,0,0,0,0,0,0,0,0,139.12,0.0,0.0,0.0,139.12,2
536366,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,22.2,0.0,0.0,0.0,22.2,9
536367,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,12,0,0,0,0,0,0,0,0,278.73,0.0,0.0,0.0,278.73,11
536368,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,4,0,0,0,0,0,0,0,0,70.05,0.0,0.0,0.0,70.05,23
536369,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,17.85,0.0,0.0,0.0,17.85,27
536370,2010-12-01,2010-12,France,Positive sale line,No rule triggered,0,No rule triggered,20,0,0,0,0,0,0,0,0,855.86,0.0,0.0,0.0,855.86,28
536371,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,204.0,0.0,0.0,0.0,204.0,48
536372,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,22.2,0.0,0.0,0.0,22.2,49
536373,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,16,0,0,0,0,0,0,0,0,259.86,0.0,0.0,0.0,259.86,51
536374,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,350.4,0.0,0.0,0.0,350.4,67
536375,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,16,0,0,0,0,0,0,0,0,259.86,0.0,0.0,0.0,259.86,68
536376,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,328.8,0.0,0.0,0.0,328.8,84
536377,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,2,0,0,0,0,0,0,0,0,22.2,0.0,0.0,0.0,22.2,86
536378,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,19,0,0,0,0,0,0,0,0,444.98,0.0,0.0,0.0,444.98,88
536380,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,1,0,0,0,0,0,0,0,0,34.8,0.0,0.0,0.0,34.8,107
536381,2010-12-01,2010-12,United Kingdom,Positive sale line,No rule triggered,0,No rule triggered,35,0,0,0,0,0,0,0,0,449.98,0.0,0.0,0.0,449.98,108
